Share Name: IOO
Starting Portfolio Value: 1000.00
2020-10-22, Open, 75.68
2020-10-23, Order Canceled/Margin/Rejected
2020-10-23, Open, 75.96
2020-10-26, Order Canceled/Margin/Rejected
2020-10-26, Open, 75.59
2020-10-27, Order Canceled/Margin/Rejected
2020-10-27, Open, 75.10
2020-10-28, Order Canceled/Margin/Rejected
2020-10-28, Open, 74.27
2020-10-29, Order Canceled/Margin/Rejected
2020-10-29, Open, 73.45
2020-10-30, Order Canceled/Margin/Rejected
2020-10-30, Open, 73.15
2020-11-02, Order Canceled/Margin/Rejected
2020-11-02, Open, 73.45
2020-11-03, Order Canceled/Margin/Rejected
2020-11-03, Open, 74.10
2020-11-04, Order Canceled/Margin/Rejected
2020-11-04, Open, 74.95
2020-11-05, Order Canceled/Margin/Rejected
2020-11-05, Open, 76.05
2020-11-06, Order Canceled/Margin/Rejected
2020-11-06, Open, 75.44
2020-11-09, Order Canceled/Margin/Rejected
2020-11-09, Open, 76.99
2020-11-10, Order Canceled/Margin/Rejected
2020-11-10, Open, 75.85
2020-11-11, Order Canceled/Margin/Rejected
2020-11-11, Open, 76.45
2020-11-12, Order Canceled/Margin/Rejected
2020-11-12, Open, 77.00
2020-11-13, Order Canceled/Margin/Rejected
2020-11-13, Open, 77.32
2020-11-16, SELL EXECUTED, Size: -14, Price: 77.50, Cost: 1081.36, Comm 0.00
2020-11-16, BUY EXECUTED, Size: 14, Price: 77.50, Cost: 1085.00, Comm 0.00
2020-11-16, OPERATION PROFIT, GROSS 3.64, NET 3.64
2020-11-16, Open, 78.07
2020-11-17, SELL EXECUTED, Size: -14, Price: 78.36, Cost: 1085.00, Comm 0.00
2020-11-17, BUY EXECUTED, Size: 14, Price: 78.36, Cost: 1097.04, Comm 0.00
2020-11-17, OPERATION PROFIT, GROSS 12.04, NET 12.04
2020-11-17, Open, 77.98
2020-11-18, SELL EXECUTED, Size: -14, Price: 77.88, Cost: 1097.04, Comm 0.00
2020-11-18, BUY EXECUTED, Size: 14, Price: 77.88, Cost: 1090.32, Comm 0.00
2020-11-18, OPERATION PROFIT, GROSS -6.72, NET -6.72
2020-11-18, Open, 77.85
2020-11-19, SELL EXECUTED, Size: -14, Price: 77.98, Cost: 1090.32, Comm 0.00
2020-11-19, BUY EXECUTED, Size: 14, Price: 77.98, Cost: 1091.72, Comm 0.00
2020-11-19, OPERATION PROFIT, GROSS 1.40, NET 1.40
2020-11-19, Open, 77.07
2020-11-20, Order Canceled/Margin/Rejected
2020-11-20, Open, 77.45
2020-11-23, SELL EXECUTED, Size: -14, Price: 77.97, Cost: 1091.72, Comm 0.00
2020-11-23, BUY EXECUTED, Size: 14, Price: 77.97, Cost: 1091.58, Comm 0.00
2020-11-23, OPERATION PROFIT, GROSS -0.14, NET -0.14
2020-11-23, Open, 77.23
2020-11-24, SELL EXECUTED, Size: -14, Price: 77.32, Cost: 1091.58, Comm 0.00
2020-11-24, BUY EXECUTED, Size: 14, Price: 77.32, Cost: 1082.48, Comm 0.00
2020-11-24, OPERATION PROFIT, GROSS -9.10, NET -9.10
2020-11-24, Open, 77.66
2020-11-25, SELL EXECUTED, Size: -14, Price: 78.06, Cost: 1082.48, Comm 0.00
2020-11-25, BUY EXECUTED, Size: 14, Price: 78.06, Cost: 1092.84, Comm 0.00
2020-11-25, OPERATION PROFIT, GROSS 10.36, NET 10.36
2020-11-25, Open, 78.14
2020-11-26, SELL EXECUTED, Size: -14, Price: 78.06, Cost: 1092.84, Comm 0.00
2020-11-26, BUY EXECUTED, Size: 14, Price: 78.06, Cost: 1092.84, Comm 0.00
2020-11-26, OPERATION PROFIT, GROSS -0.00, NET -0.00
2020-11-26, Open, 77.94
2020-11-27, SELL EXECUTED, Size: -14, Price: 77.95, Cost: 1092.84, Comm 0.00
2020-11-27, BUY EXECUTED, Size: 14, Price: 77.95, Cost: 1091.30, Comm 0.00
2020-11-27, OPERATION PROFIT, GROSS -1.54, NET -1.54
2020-11-27, Open, 77.72
2020-11-30, SELL EXECUTED, Size: -14, Price: 78.26, Cost: 1091.30, Comm 0.00
2020-11-30, BUY EXECUTED, Size: 14, Price: 78.26, Cost: 1095.64, Comm 0.00
2020-11-30, OPERATION PROFIT, GROSS 4.34, NET 4.34
2020-11-30, Open, 77.41
2020-12-01, SELL EXECUTED, Size: -14, Price: 77.42, Cost: 1095.64, Comm 0.00
2020-12-01, BUY EXECUTED, Size: 14, Price: 77.42, Cost: 1083.88, Comm 0.00
2020-12-01, OPERATION PROFIT, GROSS -11.76, NET -11.76
2020-12-01, Open, 78.35
2020-12-02, SELL EXECUTED, Size: -14, Price: 79.10, Cost: 1083.88, Comm 0.00
2020-12-02, BUY EXECUTED, Size: 14, Price: 79.10, Cost: 1107.40, Comm 0.00
2020-12-02, OPERATION PROFIT, GROSS 23.52, NET 23.52
2020-12-02, Open, 78.55
2020-12-03, SELL EXECUTED, Size: -14, Price: 79.10, Cost: 1107.40, Comm 0.00
2020-12-03, BUY EXECUTED, Size: 14, Price: 79.10, Cost: 1107.40, Comm 0.00
2020-12-03, OPERATION PROFIT, GROSS 0.00, NET 0.00
2020-12-03, Open, 78.67
2020-12-04, SELL EXECUTED, Size: -14, Price: 78.73, Cost: 1107.40, Comm 0.00
2020-12-04, BUY EXECUTED, Size: 14, Price: 78.73, Cost: 1102.22, Comm 0.00
2020-12-04, OPERATION PROFIT, GROSS -5.18, NET -5.18
2020-12-04, Open, 78.53
2020-12-07, SELL EXECUTED, Size: -14, Price: 78.59, Cost: 1102.22, Comm 0.00
2020-12-07, BUY EXECUTED, Size: 14, Price: 78.59, Cost: 1100.26, Comm 0.00
2020-12-07, OPERATION PROFIT, GROSS -1.96, NET -1.96
2020-12-07, Open, 78.71
2020-12-08, SELL EXECUTED, Size: -14, Price: 78.72, Cost: 1100.26, Comm 0.00
2020-12-08, BUY EXECUTED, Size: 14, Price: 78.72, Cost: 1102.08, Comm 0.00
2020-12-08, OPERATION PROFIT, GROSS 1.82, NET 1.82
2020-12-08, Open, 78.67
2020-12-09, SELL EXECUTED, Size: -14, Price: 78.87, Cost: 1102.08, Comm 0.00
2020-12-09, BUY EXECUTED, Size: 14, Price: 78.87, Cost: 1104.18, Comm 0.00
2020-12-09, OPERATION PROFIT, GROSS 2.10, NET 2.10
2020-12-09, Open, 79.15
2020-12-10, SELL EXECUTED, Size: -14, Price: 78.81, Cost: 1104.18, Comm 0.00
2020-12-10, BUY EXECUTED, Size: 14, Price: 78.81, Cost: 1103.34, Comm 0.00
2020-12-10, OPERATION PROFIT, GROSS -0.84, NET -0.84
2020-12-10, Open, 78.07
2020-12-11, SELL EXECUTED, Size: -14, Price: 79.38, Cost: 1103.34, Comm 0.00
2020-12-11, BUY EXECUTED, Size: 14, Price: 79.38, Cost: 1111.32, Comm 0.00
2020-12-11, OPERATION PROFIT, GROSS 7.98, NET 7.98
2020-12-11, Open, 77.24
2020-12-14, SELL EXECUTED, Size: -14, Price: 76.84, Cost: 1111.32, Comm 0.00
2020-12-14, BUY EXECUTED, Size: 14, Price: 76.84, Cost: 1075.76, Comm 0.00
2020-12-14, OPERATION PROFIT, GROSS -35.56, NET -35.56
2020-12-14, Open, 77.66
2020-12-15, SELL EXECUTED, Size: -14, Price: 77.32, Cost: 1075.76, Comm 0.00
2020-12-15, BUY EXECUTED, Size: 14, Price: 77.32, Cost: 1082.48, Comm 0.00
2020-12-15, OPERATION PROFIT, GROSS 6.72, NET 6.72
2020-12-15, Open, 77.11
2020-12-16, SELL EXECUTED, Size: -14, Price: 77.57, Cost: 1082.48, Comm 0.00
2020-12-16, BUY EXECUTED, Size: 14, Price: 77.57, Cost: 1085.98, Comm 0.00
2020-12-16, OPERATION PROFIT, GROSS 3.50, NET 3.50
2020-12-16, Open, 77.64
2020-12-17, SELL EXECUTED, Size: -14, Price: 77.98, Cost: 1085.98, Comm 0.00
2020-12-17, BUY EXECUTED, Size: 14, Price: 77.98, Cost: 1091.72, Comm 0.00
2020-12-17, OPERATION PROFIT, GROSS 5.74, NET 5.74
2020-12-17, Open, 77.99
2020-12-18, SELL EXECUTED, Size: -14, Price: 77.74, Cost: 1091.72, Comm 0.00
2020-12-18, BUY EXECUTED, Size: 14, Price: 77.74, Cost: 1088.36, Comm 0.00
2020-12-18, OPERATION PROFIT, GROSS -3.36, NET -3.36
2020-12-18, Open, 77.70
2020-12-21, SELL EXECUTED, Size: -14, Price: 77.94, Cost: 1088.36, Comm 0.00
2020-12-21, BUY EXECUTED, Size: 14, Price: 77.94, Cost: 1091.16, Comm 0.00
2020-12-21, OPERATION PROFIT, GROSS 2.80, NET 2.80
2020-12-21, Open, 77.47
2020-12-22, SELL EXECUTED, Size: -14, Price: 78.71, Cost: 1091.16, Comm 0.00
2020-12-22, BUY EXECUTED, Size: 14, Price: 78.71, Cost: 1101.94, Comm 0.00
2020-12-22, OPERATION PROFIT, GROSS 10.78, NET 10.78
2020-12-22, Open, 77.52
2020-12-23, SELL EXECUTED, Size: -14, Price: 77.94, Cost: 1101.94, Comm 0.00
2020-12-23, BUY EXECUTED, Size: 14, Price: 77.94, Cost: 1091.16, Comm 0.00
2020-12-23, OPERATION PROFIT, GROSS -10.78, NET -10.78
2020-12-23, Open, 77.56
2020-12-24, SELL EXECUTED, Size: -14, Price: 77.53, Cost: 1091.16, Comm 0.00
2020-12-24, BUY EXECUTED, Size: 14, Price: 77.53, Cost: 1085.42, Comm 0.00
2020-12-24, OPERATION PROFIT, GROSS -5.74, NET -5.74
2020-12-24, Open, 77.59
2020-12-29, SELL EXECUTED, Size: -14, Price: 77.59, Cost: 1085.42, Comm 0.00
2020-12-29, BUY EXECUTED, Size: 14, Price: 77.59, Cost: 1086.26, Comm 0.00
2020-12-29, OPERATION PROFIT, GROSS 0.84, NET 0.84
2020-12-29, Open, 79.04
2020-12-30, SELL EXECUTED, Size: -14, Price: 79.04, Cost: 1086.26, Comm 0.00
2020-12-30, BUY EXECUTED, Size: 14, Price: 79.04, Cost: 1106.56, Comm 0.00
2020-12-30, OPERATION PROFIT, GROSS 20.30, NET 20.30
2020-12-30, Open, 78.42
2020-12-31, SELL EXECUTED, Size: -14, Price: 78.71, Cost: 1106.56, Comm 0.00
2020-12-31, BUY EXECUTED, Size: 14, Price: 78.71, Cost: 1101.94, Comm 0.00
2020-12-31, OPERATION PROFIT, GROSS -4.62, NET -4.62
2020-12-31, Open, 77.63
2021-01-04, SELL EXECUTED, Size: -14, Price: 78.71, Cost: 1101.94, Comm 0.00
2021-01-04, BUY EXECUTED, Size: 14, Price: 78.71, Cost: 1101.94, Comm 0.00
2021-01-04, OPERATION PROFIT, GROSS 0.00, NET 0.00
2021-01-04, Open, 77.61
2021-01-05, SELL EXECUTED, Size: -14, Price: 77.47, Cost: 1101.94, Comm 0.00
2021-01-05, BUY EXECUTED, Size: 14, Price: 77.47, Cost: 1084.58, Comm 0.00
2021-01-05, OPERATION PROFIT, GROSS -17.36, NET -17.36
2021-01-05, Open, 76.86
2021-01-06, Order Canceled/Margin/Rejected
2021-01-06, Open, 76.30
2021-01-07, Order Canceled/Margin/Rejected
2021-01-07, Open, 76.88
2021-01-08, Order Canceled/Margin/Rejected
2021-01-08, Open, 78.03
2021-01-11, SELL EXECUTED, Size: -14, Price: 78.24, Cost: 1084.58, Comm 0.00
2021-01-11, BUY EXECUTED, Size: 14, Price: 78.24, Cost: 1095.36, Comm 0.00
2021-01-11, OPERATION PROFIT, GROSS 10.78, NET 10.78
2021-01-11, Open, 78.34
2021-01-12, SELL EXECUTED, Size: -14, Price: 78.34, Cost: 1095.36, Comm 0.00
2021-01-12, BUY EXECUTED, Size: 14, Price: 78.34, Cost: 1096.76, Comm 0.00
2021-01-12, OPERATION PROFIT, GROSS 1.40, NET 1.40
2021-01-12, Open, 78.32
