Share Name: CBA
Starting Portfolio Value: 1000.00
2020-12-16, Open, 72.99
2020-12-17, SELL EXECUTED, Size: -18, Price: 73.63, Cost: 1302.48, Comm 0.00
2020-12-17, BUY EXECUTED, Size: 18, Price: 73.63, Cost: 1325.34, Comm 0.00
2020-12-17, OPERATION PROFIT, GROSS 22.86, NET 22.86
2020-12-17, Open, 73.74
2020-12-18, SELL EXECUTED, Size: -18, Price: 73.47, Cost: 1325.34, Comm 0.00
2020-12-18, BUY EXECUTED, Size: 18, Price: 73.47, Cost: 1322.46, Comm 0.00
2020-12-18, OPERATION PROFIT, GROSS -2.88, NET -2.88
2020-12-18, Open, 72.39
2020-12-21, SELL EXECUTED, Size: -18, Price: 72.35, Cost: 1322.46, Comm 0.00
2020-12-21, BUY EXECUTED, Size: 18, Price: 72.35, Cost: 1302.30, Comm 0.00
2020-12-21, OPERATION PROFIT, GROSS -20.16, NET -20.16
2020-12-21, Open, 72.25
2020-12-22, SELL EXECUTED, Size: -18, Price: 72.03, Cost: 1302.30, Comm 0.00
2020-12-22, BUY EXECUTED, Size: 18, Price: 72.03, Cost: 1296.54, Comm 0.00
2020-12-22, OPERATION PROFIT, GROSS -5.76, NET -5.76
2020-12-22, Open, 71.74
2020-12-23, SELL EXECUTED, Size: -18, Price: 72.06, Cost: 1296.54, Comm 0.00
2020-12-23, BUY EXECUTED, Size: 18, Price: 72.06, Cost: 1297.08, Comm 0.00
2020-12-23, OPERATION PROFIT, GROSS 0.54, NET 0.54
2020-12-23, Open, 72.40
2020-12-24, SELL EXECUTED, Size: -18, Price: 73.09, Cost: 1297.08, Comm 0.00
2020-12-24, BUY EXECUTED, Size: 18, Price: 73.09, Cost: 1315.62, Comm 0.00
2020-12-24, OPERATION PROFIT, GROSS 18.54, NET 18.54
2020-12-24, Open, 72.38
2020-12-29, SELL EXECUTED, Size: -18, Price: 72.94, Cost: 1315.62, Comm 0.00
2020-12-29, BUY EXECUTED, Size: 18, Price: 72.94, Cost: 1312.92, Comm 0.00
2020-12-29, OPERATION PROFIT, GROSS -2.70, NET -2.70
2020-12-29, Open, 73.13
2020-12-30, SELL EXECUTED, Size: -18, Price: 72.73, Cost: 1312.92, Comm 0.00
2020-12-30, BUY EXECUTED, Size: 18, Price: 72.73, Cost: 1309.14, Comm 0.00
2020-12-30, OPERATION PROFIT, GROSS -3.78, NET -3.78
2020-12-30, Open, 72.76
2020-12-31, SELL EXECUTED, Size: -18, Price: 72.60, Cost: 1309.14, Comm 0.00
2020-12-31, BUY EXECUTED, Size: 18, Price: 72.60, Cost: 1306.80, Comm 0.00
2020-12-31, OPERATION PROFIT, GROSS -2.34, NET -2.34
2020-12-31, Open, 71.47
2021-01-04, Order Canceled/Margin/Rejected
2021-01-04, Open, 72.90
2021-01-05, SELL EXECUTED, Size: -18, Price: 72.25, Cost: 1306.80, Comm 0.00
2021-01-05, BUY EXECUTED, Size: 18, Price: 72.25, Cost: 1300.50, Comm 0.00
2021-01-05, OPERATION PROFIT, GROSS -6.30, NET -6.30
2021-01-05, Open, 72.45
2021-01-06, SELL EXECUTED, Size: -18, Price: 71.98, Cost: 1300.50, Comm 0.00
2021-01-06, BUY EXECUTED, Size: 18, Price: 71.98, Cost: 1295.64, Comm 0.00
2021-01-06, OPERATION PROFIT, GROSS -4.86, NET -4.86
2021-01-06, Open, 72.16
2021-01-07, SELL EXECUTED, Size: -18, Price: 73.45, Cost: 1295.64, Comm 0.00
2021-01-07, BUY EXECUTED, Size: 18, Price: 73.45, Cost: 1322.10, Comm 0.00
2021-01-07, OPERATION PROFIT, GROSS 26.46, NET 26.46
2021-01-07, Open, 73.62
2021-01-08, SELL EXECUTED, Size: -18, Price: 73.98, Cost: 1322.10, Comm 0.00
2021-01-08, BUY EXECUTED, Size: 18, Price: 73.98, Cost: 1331.64, Comm 0.00
2021-01-08, OPERATION PROFIT, GROSS 9.54, NET 9.54
2021-01-08, Open, 74.54
2021-01-11, SELL EXECUTED, Size: -18, Price: 74.34, Cost: 1331.64, Comm 0.00
2021-01-11, BUY EXECUTED, Size: 18, Price: 74.34, Cost: 1338.12, Comm 0.00
2021-01-11, OPERATION PROFIT, GROSS 6.48, NET 6.48
2021-01-11, Open, 74.13
2021-01-12, SELL EXECUTED, Size: -18, Price: 74.41, Cost: 1338.12, Comm 0.00
2021-01-12, BUY EXECUTED, Size: 18, Price: 74.41, Cost: 1339.38, Comm 0.00
2021-01-12, OPERATION PROFIT, GROSS 1.26, NET 1.26
2021-01-12, Open, 74.75
2021-01-13, SELL EXECUTED, Size: -18, Price: 74.34, Cost: 1339.38, Comm 0.00
2021-01-13, BUY EXECUTED, Size: 18, Price: 74.34, Cost: 1338.12, Comm 0.00
2021-01-13, OPERATION PROFIT, GROSS -1.26, NET -1.26
2021-01-13, Open, 74.83
2021-01-14, SELL EXECUTED, Size: -18, Price: 74.42, Cost: 1338.12, Comm 0.00
2021-01-14, BUY EXECUTED, Size: 18, Price: 74.42, Cost: 1339.56, Comm 0.00
2021-01-14, OPERATION PROFIT, GROSS 1.44, NET 1.44
2021-01-14, Open, 75.15
2021-01-15, SELL EXECUTED, Size: -18, Price: 74.95, Cost: 1339.56, Comm 0.00
2021-01-15, BUY EXECUTED, Size: 18, Price: 74.95, Cost: 1349.10, Comm 0.00
2021-01-15, OPERATION PROFIT, GROSS 9.54, NET 9.54
2021-01-15, Open, 74.32
2021-01-18, SELL EXECUTED, Size: -18, Price: 74.07, Cost: 1349.10, Comm 0.00
2021-01-18, BUY EXECUTED, Size: 18, Price: 74.07, Cost: 1333.26, Comm 0.00
2021-01-18, OPERATION PROFIT, GROSS -15.84, NET -15.84
2021-01-18, Open, 73.70
2021-01-19, SELL EXECUTED, Size: -18, Price: 73.99, Cost: 1333.26, Comm 0.00
2021-01-19, BUY EXECUTED, Size: 18, Price: 73.99, Cost: 1331.82, Comm 0.00
2021-01-19, OPERATION PROFIT, GROSS -1.44, NET -1.44
2021-01-19, Open, 74.08
2021-01-20, SELL EXECUTED, Size: -18, Price: 74.08, Cost: 1331.82, Comm 0.00
2021-01-20, BUY EXECUTED, Size: 18, Price: 74.08, Cost: 1333.44, Comm 0.00
2021-01-20, OPERATION PROFIT, GROSS 1.62, NET 1.62
2021-01-20, Open, 73.44
2021-01-21, SELL EXECUTED, Size: -18, Price: 74.01, Cost: 1333.44, Comm 0.00
2021-01-21, BUY EXECUTED, Size: 18, Price: 74.01, Cost: 1332.18, Comm 0.00
2021-01-21, OPERATION PROFIT, GROSS -1.26, NET -1.26
2021-01-21, Open, 74.27
2021-01-22, SELL EXECUTED, Size: -18, Price: 73.99, Cost: 1332.18, Comm 0.00
2021-01-22, BUY EXECUTED, Size: 18, Price: 73.99, Cost: 1331.82, Comm 0.00
2021-01-22, OPERATION PROFIT, GROSS -0.36, NET -0.36
2021-01-22, Open, 74.07
2021-01-25, SELL EXECUTED, Size: -18, Price: 74.08, Cost: 1331.82, Comm 0.00
2021-01-25, BUY EXECUTED, Size: 18, Price: 74.08, Cost: 1333.44, Comm 0.00
2021-01-25, OPERATION PROFIT, GROSS 1.62, NET 1.62
2021-01-25, Open, 74.22
2021-01-27, SELL EXECUTED, Size: -18, Price: 74.91, Cost: 1333.44, Comm 0.00
2021-01-27, BUY EXECUTED, Size: 18, Price: 74.91, Cost: 1348.38, Comm 0.00
2021-01-27, OPERATION PROFIT, GROSS 14.94, NET 14.94
2021-01-27, Open, 75.38
2021-01-28, SELL EXECUTED, Size: -18, Price: 74.26, Cost: 1348.38, Comm 0.00
2021-01-28, BUY EXECUTED, Size: 18, Price: 74.26, Cost: 1336.68, Comm 0.00
2021-01-28, OPERATION PROFIT, GROSS -11.70, NET -11.70
2021-01-28, Open, 74.11
2021-01-29, SELL EXECUTED, Size: -18, Price: 74.85, Cost: 1336.68, Comm 0.00
2021-01-29, BUY EXECUTED, Size: 18, Price: 74.85, Cost: 1347.30, Comm 0.00
2021-01-29, OPERATION PROFIT, GROSS 10.62, NET 10.62
2021-01-29, Open, 72.69
2021-02-01, SELL EXECUTED, Size: -18, Price: 72.25, Cost: 1347.30, Comm 0.00
2021-02-01, BUY EXECUTED, Size: 18, Price: 72.25, Cost: 1300.50, Comm 0.00
2021-02-01, OPERATION PROFIT, GROSS -46.80, NET -46.80
2021-02-01, Open, 73.71
2021-02-02, SELL EXECUTED, Size: -18, Price: 74.53, Cost: 1300.50, Comm 0.00
2021-02-02, BUY EXECUTED, Size: 18, Price: 74.53, Cost: 1341.54, Comm 0.00
2021-02-02, OPERATION PROFIT, GROSS 41.04, NET 41.04
2021-02-02, Open, 75.37
2021-02-03, SELL EXECUTED, Size: -18, Price: 75.91, Cost: 1341.54, Comm 0.00
2021-02-03, BUY EXECUTED, Size: 18, Price: 75.91, Cost: 1366.38, Comm 0.00
2021-02-03, OPERATION PROFIT, GROSS 24.84, NET 24.84
2021-02-03, Open, 76.24
